Index,Period_3_commu,Period_1_commu,Period_2_commu,Background
2571932357,6,,,computer science
2140256185,6,,,computer science
2737030536,6,,,computer science
2035848498,6,,,economics
2434904646,6,,4,psychology
2102450692,6,,4,computer science
2462704846,6,,4,physics
172408396,2,,227,art
323327848,2,,227,sociology
78340397,2,,227,sociology
2304540968,2,,227,sociology
1984086700,6,,,business
1999006122,6,,,computer science
278235635,6,,4,sociology
1812596855,6,,4,philosophy
2116675604,6,,4,political science
168580932,6,,4,sociology
2203369340,6,,4,psychology
2192708194,6,,4,medicine
98572569,6,,,political science
671242803,6,,,chemistry
1993486354,6,,,biology
2118887188,6,,,chemistry
2116499209,6,,4,political science
1964276192,6,,135,philosophy
2037055646,6,,135,geography
2111855026,6,,135,sociology
1315764420,6,,135,political science
1958293223,6,,135,political science
2797941730,6,,135,computer science
2655718572,6,,,geography
1977344258,6,,,computer science
2140666938,6,,,geography
2304958819,6,,,computer science
2614011088,6,,,computer science
2581710650,6,,,engineering
2087094108,6,,,computer science
2130102972,6,,,medicine
2268478313,6,,,computer science
2331402088,6,,,computer science
2589540391,6,,,computer science
2695907455,6,,,computer science
2255953082,6,,,computer science
2769197640,6,,,computer science
2791612717,6,,,computer science
2917472896,6,,,mathematics
2917689414,6,,,computer science
1525553408,6,,,sociology
40256436,554,,210,geography
412978321,554,,,biology
1528166987,554,,210,biology
2097017976,554,,210,biology
2330396126,554,,210,biology
2706546015,554,,210,biology
2793220537,554,,,geography
40265897,777,,,sociology
2010112508,777,,,mathematics
2259272332,777,,,computer science
2317944022,777,,,computer science
2483033241,777,,,computer science
40519205,585,,,computer science
1269823686,585,,386,mathematics
2091162834,585,,,computer science
2940692055,585,,,computer science
2803148679,585,,386,computer science
2803893998,585,,386,computer science
2941676730,585,,386,computer science
2003415406,2632,,,medicine
2094482146,2632,,,computer science
2937031798,2632,,,computer science
40573743,1074,,357,medicine
903690787,1074,,,sociology
